model,metric_type,score,iteration
t5,accuracy,0.832,14
rf-tfidf,accuracy,0.72,14
rf-bow,accuracy,0.712,14
lr-tfidf,accuracy,0.764,14
lf-bow,accuracy,0.728,14
nb-tfidf,accuracy,0.728,14
nb-bow,accuracy,0.728,14
knn-tfidf,accuracy,0.596,14
knn-bow,accuracy,0.612,14
svm-tfidf,accuracy,0.756,14
svm-bow,accuracy,0.772,14
t5,f1,0.787878787878788,14
rf-tfidf,f1,0.5270270270270271,14
rf-bow,f1,0.52,14
lr-tfidf,f1,0.6775956284153005,14
lf-bow,f1,0.6530612244897959,14
nb-tfidf,f1,0.6382978723404256,14
nb-bow,f1,0.6382978723404256,14
knn-tfidf,f1,0.3221476510067114,14
knn-bow,f1,0.45810055865921784,14
svm-tfidf,f1,0.6629834254143646,14
svm-bow,f1,0.6742857142857143,14
t5,precision,0.8387096774193549,14
rf-tfidf,precision,0.9069767441860465,14
rf-bow,precision,0.8666666666666667,14
lr-tfidf,precision,0.7948717948717948,14
lf-bow,precision,0.7032967032967034,14
nb-tfidf,precision,0.7228915662650602,14
nb-bow,precision,0.7228915662650602,14
knn-tfidf,precision,0.5454545454545454,14
knn-bow,precision,0.5540540540540541,14
svm-tfidf,precision,0.7894736842105263,14
svm-bow,precision,0.8428571428571429,14
t5,recall,0.7428571428571429,14
rf-tfidf,recall,0.37142857142857144,14
rf-bow,recall,0.37142857142857144,14
lr-tfidf,recall,0.5904761904761905,14
lf-bow,recall,0.6095238095238096,14
nb-tfidf,recall,0.5714285714285714,14
nb-bow,recall,0.5714285714285714,14
knn-tfidf,recall,0.22857142857142856,14
knn-bow,recall,0.3904761904761905,14
svm-tfidf,recall,0.5714285714285714,14
svm-bow,recall,0.5619047619047619,14
t5,accuracy,0.796,15
rf-tfidf,accuracy,0.712,15
rf-bow,accuracy,0.7,15
lr-tfidf,accuracy,0.74,15
lf-bow,accuracy,0.748,15
nb-tfidf,accuracy,0.748,15
nb-bow,accuracy,0.748,15
knn-tfidf,accuracy,0.568,15
knn-bow,accuracy,0.616,15
svm-tfidf,accuracy,0.744,15
svm-bow,accuracy,0.736,15
t5,f1,0.751219512195122,15
rf-tfidf,f1,0.55,15
rf-bow,f1,0.5222929936305732,15
lr-tfidf,f1,0.644808743169399,15
lf-bow,f1,0.6834170854271356,15
nb-tfidf,f1,0.7014218009478673,15
nb-bow,f1,0.7014218009478673,15
knn-tfidf,f1,0.2602739726027397,15
knn-bow,f1,0.4893617021276596,15
svm-tfidf,f1,0.6483516483516483,15
svm-bow,f1,0.625,15
t5,precision,0.7857142857142857,15
rf-tfidf,precision,0.8301886792452831,15
rf-bow,precision,0.82,15
lr-tfidf,precision,0.7763157894736842,15
lf-bow,precision,0.7391304347826086,15
nb-tfidf,precision,0.7115384615384616,15
nb-bow,precision,0.7115384615384616,15
knn-tfidf,precision,0.48717948717948717,15
knn-bow,precision,0.5679012345679012,15
svm-tfidf,precision,0.7866666666666666,15
svm-bow,precision,0.7971014492753623,15
t5,recall,0.719626168224299,15
rf-tfidf,recall,0.411214953271028,15
rf-bow,recall,0.38317757009345793,15
lr-tfidf,recall,0.5514018691588785,15
lf-bow,recall,0.6355140186915887,15
nb-tfidf,recall,0.6915887850467289,15
nb-bow,recall,0.6915887850467289,15
knn-tfidf,recall,0.17757009345794392,15
knn-bow,recall,0.42990654205607476,15
svm-tfidf,recall,0.5514018691588785,15
svm-bow,recall,0.514018691588785,15
t5,accuracy,0.856,16
rf-tfidf,accuracy,0.724,16
rf-bow,accuracy,0.732,16
lr-tfidf,accuracy,0.744,16
lf-bow,accuracy,0.716,16
nb-tfidf,accuracy,0.736,16
nb-bow,accuracy,0.736,16
knn-tfidf,accuracy,0.644,16
knn-bow,accuracy,0.684,16
svm-tfidf,accuracy,0.76,16
